state,sa_active,sa_active_num,sa_rep,sa_rep_title,sa_rep_region,sa_rep_img,mem_rep,mem_rep_title,mem_rep_region,mem_rep_img,resi_mw,nonresi_mw,utility_mw,state_goals
Hawaii,No,0,,,,,Rahiem Swann,Regional Development Manager,Intermountain West,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,434.4,396.4,394.5,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Iowa,Yes,0,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,27,67.2,7.7,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Idaho,Yes,0,Sara Birmingham,Senior Director of State Affairs,,https://www.seia.org/sites/default/files/2017-09/Birmingham-Sara-Sep17_0.jpg,Brett Mather,Regional Development Manager,Intermountain West,https://aaronholm.github.io/seia-state_maps/Bret%20Mather%20Headshot.jpg,41.7,4.7,448.1,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Illinois,Yes,1,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,64.2,71.6,38.8,"<p class=""goal"">Ensure workable implementation of Adjustable Block Program, around issues including vendor requirements, consumer protection, standard contracts, marketing materials, etc.</p><p class=""progress"">Intervened as party to Revised Long-Term Renewables Resources Procyrement Plan, filed in October at the IL Commerce Commission, to address ABP issues.</p><p class=""goal"">Drive program improvements in 2019 LTRRPP update docket.</p><p class=""progress"">Intervened as party to Revised Long-Term Renewables Resources Procyrement Plan, filed in October at the IL Commerce Commission, to address ABP issues.</p><p class=""goal"">Monitor need for further interconnection reform.</p><p class=""progress"">While no energy legislation was addressed in Veto session, SEIA has met with IL Commissioners and we are in discussions to determine best method to address Interconnection via regulatory means, e.g. a rulemaking, notice of inquiry investigation, or complaint.</p><p class=""goal"">Participate in, and potentially initiate, regulatory docket over the proper definition of the 3% and 5% net metering caps.</p><p class=""progress"">Timing is still under consideration</p><p class=""goal"">Develop and advocate for proposals for workable post-NEM compensation structures that will continue to drive market development.</p><p class=""progress"">SEIA has retained counsel for this proceeding, which will be initiated after the 3% cap is hit.</p><p class=""goal"">Ensure successful implementation of the Solar For All program, including workforce development component.</p><p class=""progress"">SEIA continues to monitor program</p><p class=""goal"">Continue to monitor and steer Univ. of Ill researchers work on PV recycling toward information gathering and level setting, and away from any suggestion of mandatory action.</p><p class=""progress"">Monitoring. No recent significant activity.</p><p class=""goal"">Improve efforts to support developers on land use issues.</p><p class=""progress"">Monitoring. No recent significant activity.</p><p class=""goal"">With co-investment, hire a lobbyist; expected legislation incudes 100% clean energy bill sponsored by eNGOs, more nuclear bailout funding proposal from Exelon, Vistra coal bailout proposal, rate design and other proposals from ComEd, and could include improvements to and extension of RPS, e.g. additional funding to support additional RECs.</p><p class=""progress"">While no energy legislation was addressed in Veto session, negotiations with relevant stakeholders are still ongoing. SEIA may participate in governoment-led workshops in early 2020.</p>"
Indiana,Yes,0,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,23.2,73.8,280.2,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Kansas,No,0,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,12.8,9.7,6.8,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Kentucky,No,0,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,6.4,13.3,25.2,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Louisiana,Yes,0,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,100.1,8, -   ,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Maine,No,0,Dave Gahl,Senior Director of State Affairs,Northeast,https://www.seia.org/sites/default/files/2017-09/Gahl-Dave-Sep2017.jpg,Khephren Menna,Regional Development Manager,Northeast,https://www.seia.org/sites/default/files/2017-11/Menna-Khephren-Sep17.jpg,6.9,6.4,11.4,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Maryland,Yes,0,Dave Gahl,Senior Director of State Affairs,Northeast,https://www.seia.org/sites/default/files/2017-09/Gahl-Dave-Sep2017.jpg,Khephren Menna,Regional Development Manager,Northeast,https://www.seia.org/sites/default/files/2017-11/Menna-Khephren-Sep17.jpg,621.3,324.8,214,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Massachusetts,Yes,1,Dave Gahl,Senior Director of State Affairs,Northeast,https://www.seia.org/sites/default/files/2017-09/Gahl-Dave-Sep2017.jpg,Khephren Menna,Regional Development Manager,Northeast,https://www.seia.org/sites/default/files/2017-11/Menna-Khephren-Sep17.jpg,660.9,"1,811.90",109.3,"<p class=""goal"">Ensure the SMART program rolls out well and fix lingering issues with its implementation during the regulatory review. </p><p class=""progress"">SEIA once again led the submission of consensus industry recommenations on SMART, and has been in negotiations with regulators on the size of the SMART expansion and land use practices. The final SMART regulations are now expected late December or early January.</p><p class=""goal"">Block bad utility minimum monthly reliability contribution proposals in upcoming utility regulatory proceedings. </p><p class=""progress"">The Department of Public Utilities  (DPU) Order rejected National Grid's miminum monthly reliability contribution proposal, and launched an investigation into the company's handling of the transmission study process. However, the DPU rejected a good proposal advanced by DOER to compensate the company for improving interconnection practices.</p>"
Michigan,Yes,1,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,46.4,27.3,102.8,"<p class=""goal"">Potential intervention in DTE IRP, with co-funding. </p><p class=""progress"">The DTE IRP has been fully briefed and we hope to receive a proposed Order before the end of 2020.</p><p class=""goal"">Potential intervention in Interconnection reform docket, with co-funding. </p><p class=""progress"">The MPSC has lanuched MI Power Grid, a multi-year stakeholder process supported by Governor Whitmer and the MPSC to maximize the benefits of the transition to clean, distributed energy resources for Michigan residents and businesses. SEIA will meet with MPSC Commissioners to determine level of engagement in 2020.</p><p class=""goal"">Likely participation in various PURPA-related dockets, in collaboration with ELPC and Vote Solar. </p><p class=""progress"">MPSC approved settlement</p><p class=""goal"">Potential for SEIA to engage lobbyist, with co-funding. Expected legislation includes community solar bill, NEM restoration, and property tax bill for utility scale projects. </p><p class=""progress"">SEIA will engage lobbyist in 2020.</p>"
Minnesota,Yes,0,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,34.5,781.4,471.7,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Missouri,No,0,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,97.7,113.3,44.1,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Mississippi,Yes,0,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,2.1,2.1,237.2,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Montana,No,0,Sara Birmingham,Senior Director of State Affairs,,https://www.seia.org/sites/default/files/2017-09/Birmingham-Sara-Sep17_0.jpg,Brett Mather,Regional Development Manager,Intermountain West,https://aaronholm.github.io/seia-state_maps/Bret%20Mather%20Headshot.jpg,9.6,3.7,45.5,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
North Carolina,Yes,1,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,97.7,129.6,"5,435.00","<p class='goal'>Robust regulatory engagement with partners in North Carolina and South Carolina on avoided cost, integrated resource planning, and rate design, and continued support of partner organizations in Virginia (legislation to advance distributed generation, provide additional guidance to the State Corporation Commission on approval of utility scale renewables).</p><p class='progress'>SEIA continues to partner with NCCEBA on implementing Governor Cooper's Clean Energy Plan. SEIA also participating as a stakeholder in a PV Recycling working group.<p class='goal'>Increase engagement in emerging markets; specifically, empower TenneSEIA's role as an advocate in the Tennessee Valley to create increased solar procurement for commercial and industrial energy users. </p><p class='progress'>No update.</p>"
North Dakota,No,0,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,0.3,0.2, -   ,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Nebraska,Yes,0,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,5,3.6,36.7,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
New Hampshire,Yes,0,Dave Gahl,Senior Director of State Affairs,Northeast,https://www.seia.org/sites/default/files/2017-09/Gahl-Dave-Sep2017.jpg,Khephren Menna,Regional Development Manager,Northeast,https://www.seia.org/sites/default/files/2017-11/Menna-Khephren-Sep17.jpg,61.6,37.3, -   ,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
New Jersey,Yes,1,Dave Gahl,Senior Director of State Affairs,Northeast,https://www.seia.org/sites/default/files/2017-09/Gahl-Dave-Sep2017.jpg,Khephren Menna,Regional Development Manager,Northeast,https://www.seia.org/sites/default/files/2017-11/Menna-Khephren-Sep17.jpg,874.1,"1,540.70",599.4,"<p class=""goal"">Establish interim successor incentive program to the current SREC program and set up path to a long term incentive program, via legislation developed and driven by SEIA, with support from a collection of local and regional partners</p><p class=""progress"">In partnership with industry colleagues, SEIA helped improve the BPUs proposal for Transitional Incentives (TRECs) that will compensate ~700 MW worth of projects when NJ reaches the 5.1% RPS milestone. </p><p class=""goal"">Help expand the size of the community solar pilot & relax some of the land use restrictions on large-scale solar</p><p class=""progress"">The first round of community solar awards will likely be announced at the end of this year. SEIA provided program recommendations on improvements to the year-two pilot, as well as advocated for expanded capacity that is synched up with the successor program.</p>"
New Mexico,Yes,1,Sara Birmingham,Senior Director of State Affairs,,https://www.seia.org/sites/default/files/2017-09/Birmingham-Sara-Sep17_0.jpg,Brett Mather,Regional Development Manager,Intermountain West,https://aaronholm.github.io/seia-state_maps/Bret%20Mather%20Headshot.jpg,111.2,59.1,665.9,"<p class=""goal"">Potential support of RPS legislation, made more likely by election results, with co-funding.</p><p class=""progress"">SEIA was invited to and will participate in a first meeting with stakeholders of RPS implementation in Dec 2019.</p>"
Nevada,Yes,1,Sara Birmingham,Senior Director of State Affairs,,https://www.seia.org/sites/default/files/2017-09/Birmingham-Sara-Sep17_0.jpg,Brett Mather,Regional Development Manager,Intermountain West,https://aaronholm.github.io/seia-state_maps/Bret%20Mather%20Headshot.jpg,340.3,118.9,"2,817.50","<p class=""goal"">Support successful RPS legislation</p><p class=""progress"">SEIA supported and advocated for SB 358, the RPS bill, which establishes a goal of achieving by 2050 an amount of energy production from zero carbon dioxide emission resources, and 50% renewables by 2030. The bill passed the legislature April 19.</p><p class=""goal"">Support expected Community Solar legislation</p><p class=""progress"">SEIA has been working diligently with stakeholders on a Community Solar bill. Unfortunately with the failure of Question 3, the retail choice ballot initiative, this has been very challenging as the utility has conflated the two efforts as similar. While we continue to advocate for a developer program, it is likely a utility subscription program will be offered instead.</p><p class=""goal"">Engage on anticipated 704b and CCA legislation</p><p class=""progress"">SEIA engaged in the bill on the restructuring of 704b customers, working with the author and PUC to best ensure developers are not overseen by the PUC agency.</p>"
New York,Yes,1,Dave Gahl,Senior Director of State Affairs,Northeast,https://www.seia.org/sites/default/files/2017-09/Gahl-Dave-Sep2017.jpg,Khephren Menna,Regional Development Manager,Northeast,https://www.seia.org/sites/default/files/2017-11/Menna-Khephren-Sep17.jpg,904.1,787,201.6,"<p class=""goal"">Preserve net metering - in some form for residential/small commercial customers in New York. </p><p class=""progress"">No update.</p><p class=""goal"">Finalize fixes to New York's VDER tariff for larger scale solar projects. </p><p class=""progress"">No update.</p><p class=""goal"">Develop a better roadmap for meeting Clean Energy Standard targets in the out-years. </p><p class=""progress"">No update.</p><p class=""goal"">Support legislation codifying a long term solar goal and extending NY Sun. </p><p class=""progress"">SEIA has provided several rounds of feedback on NYSERDA's plans to extend NY Sun to reach the 6 GW goal. Based on early feedback, regulators raised incentive amounts in certain territories. We await the release of the regulatory proposal.</p>"
Ohio,Yes,0,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,35.3,137.9,74.7,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Oklahoma,No,0,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,4.9,2.4,29.5,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Oregon,Yes,0,Sara Birmingham,Senior Director of State Affairs,,https://www.seia.org/sites/default/files/2017-09/Birmingham-Sara-Sep17_0.jpg,Brett Mather,Regional Development Manager,Intermountain West,https://aaronholm.github.io/seia-state_maps/Bret%20Mather%20Headshot.jpg,96.6,81.6,435.3,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Pennsylvania,Yes,0,Dave Gahl,Senior Director of State Affairs,Northeast,https://www.seia.org/sites/default/files/2017-09/Gahl-Dave-Sep2017.jpg,Khephren Menna,Regional Development Manager,Northeast,https://www.seia.org/sites/default/files/2017-11/Menna-Khephren-Sep17.jpg,204.3,241.1,29.7,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Rhode Island,Yes,0,Dave Gahl,Senior Director of State Affairs,Northeast,https://www.seia.org/sites/default/files/2017-09/Gahl-Dave-Sep2017.jpg,Khephren Menna,Regional Development Manager,Northeast,https://www.seia.org/sites/default/files/2017-11/Menna-Khephren-Sep17.jpg,35.2,114.1,61.8,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
South Carolina,Yes,1,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,176.1,70.5,803.1,"<p class='goal'>Participate in legislation calling for comprehensive energy reform and implementation, including new utility scale programs and meaningful rate design change for distributed generation.</p><p class='progress'>Unfavorable outcome in SC avoided cost proceeding, SEIA is working on a legislative fix or alternate utility scale program to crate short and medium term market opportunities.<p class='goal'>Robust regulatory engagement with partners in North Carolina and South Carolina on avoided cost, integrated resource planning, and rate design, and continued support of partner organizations in Virginia (legislation to advance distributed generation, provide additional guidance to the State Corporation Commission on approval of utility scale renewables).</p><p class='progress'>SEIA continues to partner with NCCEBA on implementing Governor Cooper's Clean Energy Plan. SEIA also participating as a stakeholder in a PV Recycling working group.<p class='goal'>Increase engagement in emerging markets; specifically, empower TenneSEIA's role as an advocate in the Tennessee Valley to create increased solar procurement for commercial and industrial energy users.</p><p class='progress'>No update.</p>"
South Dakota,No,0,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,0.3,0.3,1,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
